No;Teks
1;Apakah peserta dengan nomor 1001 lulus tahap administrasi?
2;Mohon informasikan status kelulusan peserta nomor 1002.
3;Peserta nomor 1003 lolos seleksi tahap 1 atau tidak?
4;Bisa cek hasil seleksi untuk nomor peserta 1004?
5;Tolong tampilkan pengumuman hasil untuk nomor peserta 1005.
6;Apakah nomor peserta 1006 masuk daftar lulus tahap berikutnya?
7;Saya ingin mengetahui hasil seleksi peserta nomor 1007.
8;Status peserta 1008 pada pengumuman terakhir bagaimana?
9;Apakah peserta 1009 memenuhi syarat dan dinyatakan lulus?
10;Cek hasil ujian/tes untuk nomor peserta 1010.
11;Apakah peserta dengan nomor 1011 lulus tahap administrasi?
12;Mohon informasikan status kelulusan peserta nomor 1012.
13;Peserta nomor 1013 lolos seleksi tahap 1 atau tidak?
14;Bisa cek hasil seleksi untuk nomor peserta 1014?
15;Tolong tampilkan pengumuman hasil untuk nomor peserta 1015.
16;Apakah nomor peserta 1016 masuk daftar lulus tahap berikutnya?
17;Saya ingin mengetahui hasil seleksi peserta nomor 1017.
18;Status peserta 1018 pada pengumuman terakhir bagaimana?
19;Apakah peserta 1019 memenuhi syarat dan dinyatakan lulus?
20;Cek hasil ujian/tes untuk nomor peserta 1020.
21;Apakah peserta dengan nomor 1021 lulus tahap administrasi?
22;Mohon informasikan status kelulusan peserta nomor 1022.
23;Peserta nomor 1023 lolos seleksi tahap 1 atau tidak?
24;Bisa cek hasil seleksi untuk nomor peserta 1024?
25;Tolong tampilkan pengumuman hasil untuk nomor peserta 1025.
26;Apakah nomor peserta 1026 masuk daftar lulus tahap berikutnya?
27;Saya ingin mengetahui hasil seleksi peserta nomor 1027.
28;Status peserta 1028 pada pengumuman terakhir bagaimana?
29;Apakah peserta 1029 memenuhi syarat dan dinyatakan lulus?
30;Cek hasil ujian/tes untuk nomor peserta 1030.
31;Apakah peserta dengan nomor 1031 lulus tahap administrasi?
32;Mohon informasikan status kelulusan peserta nomor 1032.
33;Peserta nomor 1033 lolos seleksi tahap 1 atau tidak?
34;Bisa cek hasil seleksi untuk nomor peserta 1034?
35;Tolong tampilkan pengumuman hasil untuk nomor peserta 1035.
36;Apakah nomor peserta 1036 masuk daftar lulus tahap berikutnya?
